customer_id,gender,seniorCitizen,partner,Dependents,tenure,Phone_Service,MultipleLines,InternetService,Online_Security,Online_Backup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,paperlessbilling,paymentmethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,,0.0,Yes,No,1.0,,No phone service,,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,35.57289737722013,208.0372486852358,No
5575-GNVDE,Male,0.0,No,No,34.0,Yes,No,,Yes,No,Yes,No,No,No,One year,No,Mailed check,64.44574242285354,2261.432887417746,No
3668-QPYBK,Male,0.0,No,No,2.0,Yes,No,,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.46171193246112,-96.03758372206454,Yes
7795-CFOCW,Male,0.0,No,No,45.0,No,No phone service,,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),45.23282201019604,2132.0824057554023,No
9237-HQITU,Female,0.0,No,No,,,No,,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.43478526035979,-363.7521142494139,Yes
9305-CDSKC,Female,0.0,No,No,8.0,Yes,Yes,,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.3796156788316,748.9757599256018,Yes
1452-KIOVK,Male,0.0,No,Yes,,Yes,Yes,,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),96.36348531277807,1912.020368197441,No
6713-OKOMC,Female,0.0,No,,10.0,No,No phone service,,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,30.429887278340782,393.4089766321989,No
7892-POOKP,,0.0,Yes,No,28.0,Yes,Yes,,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.76631332775754,2727.7288089686226,Yes
6388-TABGU,Male,0.0,No,Yes,62.0,Yes,No,,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),54.3415167239347,3382.3942929381706,No
9763-GRSKD,Male,0.0,Yes,Yes,13.0,Yes,No,,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,51.24412627670587,420.6093768395581,No
7469-LKBCI,Male,0.0,No,No,16.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),17.469800194412045,981.5758945312008,No
8091-TTVAX,,0.0,Yes,No,58.0,Yes,Yes,,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),101.8236289749059,5137.413199714896,No
0280-XJGEX,Male,0.0,,No,49.0,Yes,Yes,,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,,99.85724266264619,,Yes
5129-JLPIS,Male,0.0,No,No,25.0,Yes,No,,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,,108.61014071535445,2622.852061979393,No
3655-SNQYZ,Female,0.0,Yes,Yes,69.0,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),110.80681879850034,7589.320926891602,No
8191-XWSZG,Female,0.0,No,No,52.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.5211262827905,,No
9959-WOFKT,Male,0.0,No,Yes,71.0,,Yes,,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),102.62227922844086,7684.544423983732,No
4190-MFLUW,Female,0.0,Yes,Yes,10.0,Yes,No,,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),59.06781858215727,608.8306208372334,Yes
4183-MYFRB,Female,0.0,No,No,21.0,,No,,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.38947013415513,1503.1908330101346,No
8779-QRDMV,Male,1.0,No,No,1.0,No,No phone service,,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,32.83777930368591,47.9233404254912,Yes
1680-VDCWW,Male,0.0,Yes,No,12.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.92526407819345,229.01539984095248,No
1066-JKSGK,Male,0.0,No,No,1.0,Yes,No,,,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,15.975897689185313,267.6916548997248,Yes
3638-WEABW,Female,0.0,Yes,No,58.0,Yes,Yes,,No,Yes,No,Yes,No,No,Two year,Yes,,64.86807235038636,3458.220585044023,No
6322-HRPFA,Male,0.0,Yes,Yes,49.0,Yes,No,,,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),53.80244051793247,3046.945924390473,No
6865-JZNKO,Female,0.0,No,No,30.0,Yes,No,,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),52.91596106026512,1514.8767106766788,No
